gene_id	gameto_1	gameto_2	sporo_5	sporo_6
AagrBONN_evm.TU.Sc2ySwM_1.1	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_1.2	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_1.3	19	15	3	43
AagrBONN_evm.TU.Sc2ySwM_1.4	30	36	13	140
AagrBONN_evm.TU.Sc2ySwM_1.5	3	2	5	26
AagrBONN_evm.TU.Sc2ySwM_1.6	0	0	1	0
AagrBONN_evm.TU.Sc2ySwM_10.1	9	12	14	19
AagrBONN_evm.TU.Sc2ySwM_10.2	3	5	2	13
AagrBONN_evm.TU.Sc2ySwM_10.3	110	137	279	886
AagrBONN_evm.TU.Sc2ySwM_10.4	323	472	2506	5957
AagrBONN_evm.TU.Sc2ySwM_10.5	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_100.1	1	1	21	59
AagrBONN_evm.TU.Sc2ySwM_100.2	3	4	6	8
AagrBONN_evm.TU.Sc2ySwM_101.1	2	9	7	0
AagrBONN_evm.TU.Sc2ySwM_101.2	0	0	0	1
AagrBONN_evm.TU.Sc2ySwM_101.3	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_102.1	46	43	46	100
AagrBONN_evm.TU.Sc2ySwM_102.2	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_103.1	11	13	100	696
AagrBONN_evm.TU.Sc2ySwM_104.1	9	1	5	47
AagrBONN_evm.TU.Sc2ySwM_104.2	17	2	8	50
AagrBONN_evm.TU.Sc2ySwM_104.3	1	1	11	7
AagrBONN_evm.TU.Sc2ySwM_106.1	0	0	1	61
AagrBONN_evm.TU.Sc2ySwM_108.1	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_109.1	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_109.2	5	3	50	183
AagrBONN_evm.TU.Sc2ySwM_109.3	6	11	68	233
AagrBONN_evm.TU.Sc2ySwM_109.4	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_11.1	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_11.2	4	2	14	18
AagrBONN_evm.TU.Sc2ySwM_110.1	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_110.2	382	341	210	706
AagrBONN_evm.TU.Sc2ySwM_110.3	0	0	1	0
AagrBONN_evm.TU.Sc2ySwM_110.4	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_110.5	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_110.6	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_110.7	0	0	2	5
AagrBONN_evm.TU.Sc2ySwM_110.8	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_110.9	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_111.1	361	516	759	2993
AagrBONN_evm.TU.Sc2ySwM_113.1	0	7	9	29
AagrBONN_evm.TU.Sc2ySwM_114.1	0	1	17	34
AagrBONN_evm.TU.Sc2ySwM_114.10	3	1	0	0
AagrBONN_evm.TU.Sc2ySwM_114.11	1	2	5	26
AagrBONN_evm.TU.Sc2ySwM_114.12	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_114.13	0	0	9	118
AagrBONN_evm.TU.Sc2ySwM_114.14	270	384	540	1826
AagrBONN_evm.TU.Sc2ySwM_114.15	113	131	378	1276
AagrBONN_evm.TU.Sc2ySwM_114.16	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_114.17	0	0	2	0
AagrBONN_evm.TU.Sc2ySwM_114.18	3	7	64	193
AagrBONN_evm.TU.Sc2ySwM_114.19	199	255	571	36
AagrBONN_evm.TU.Sc2ySwM_114.2	0	0	5	0
AagrBONN_evm.TU.Sc2ySwM_114.20	710	723	1339	4293
AagrBONN_evm.TU.Sc2ySwM_114.21	0	0	0	1
AagrBONN_evm.TU.Sc2ySwM_114.22	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_114.23	278	297	601	2282
AagrBONN_evm.TU.Sc2ySwM_114.24	517	583	1045	3627
AagrBONN_evm.TU.Sc2ySwM_114.25	4	2	12	0
AagrBONN_evm.TU.Sc2ySwM_114.26	3	0	3	0
AagrBONN_evm.TU.Sc2ySwM_114.27	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_114.28	65	114	36	64
AagrBONN_evm.TU.Sc2ySwM_114.29	41	39	44	257
AagrBONN_evm.TU.Sc2ySwM_114.3	0	0	6	2
AagrBONN_evm.TU.Sc2ySwM_114.30	19	20	38	59
AagrBONN_evm.TU.Sc2ySwM_114.31	0	0	1	0
AagrBONN_evm.TU.Sc2ySwM_114.32	4	3	0	1
AagrBONN_evm.TU.Sc2ySwM_114.33	0	0	0	2
AagrBONN_evm.TU.Sc2ySwM_114.34	3	1	3	0
AagrBONN_evm.TU.Sc2ySwM_114.35	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_114.36	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_114.37	241	375	638	2221
AagrBONN_evm.TU.Sc2ySwM_114.38	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_114.4	0	1	2	1
AagrBONN_evm.TU.Sc2ySwM_114.5	179	233	298	891
AagrBONN_evm.TU.Sc2ySwM_114.6	11	20	12	48
AagrBONN_evm.TU.Sc2ySwM_114.7	7	2	1	3
AagrBONN_evm.TU.Sc2ySwM_114.8	1	1	2	3
AagrBONN_evm.TU.Sc2ySwM_114.9	27	10	21	46
AagrBONN_evm.TU.Sc2ySwM_115.1	6	5	0	1
AagrBONN_evm.TU.Sc2ySwM_115.2	1	0	0	2
AagrBONN_evm.TU.Sc2ySwM_115.3	65	84	106	376
AagrBONN_evm.TU.Sc2ySwM_115.4	29	18	13	122
AagrBONN_evm.TU.Sc2ySwM_116.1	0	0	1	0
AagrBONN_evm.TU.Sc2ySwM_117.1	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.10	566	890	3278	16861
AagrBONN_evm.TU.Sc2ySwM_117.100	100	122	111	73
AagrBONN_evm.TU.Sc2ySwM_117.1000	370	627	936	2186
AagrBONN_evm.TU.Sc2ySwM_117.1001	913	1271	2082	7109
AagrBONN_evm.TU.Sc2ySwM_117.1002	595	965	1115	2874
AagrBONN_evm.TU.Sc2ySwM_117.1003	255	426	569	1777
AagrBONN_evm.TU.Sc2ySwM_117.1004	376	554	887	3725
AagrBONN_evm.TU.Sc2ySwM_117.1005	15	18	22	134
AagrBONN_evm.TU.Sc2ySwM_117.1006	105	199	266	1347
AagrBONN_evm.TU.Sc2ySwM_117.1007	3	11	28	73
AagrBONN_evm.TU.Sc2ySwM_117.1008	50	77	140	349
AagrBONN_evm.TU.Sc2ySwM_117.1009	38	61	67	112
AagrBONN_evm.TU.Sc2ySwM_117.101	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1010	787	954	2003	6860
AagrBONN_evm.TU.Sc2ySwM_117.1011	124	207	417	1421
AagrBONN_evm.TU.Sc2ySwM_117.1012	1949	4700	4984	11618
AagrBONN_evm.TU.Sc2ySwM_117.1013	26	19	81	256
AagrBONN_evm.TU.Sc2ySwM_117.1014	210	373	561	1722
AagrBONN_evm.TU.Sc2ySwM_117.1015	310	431	637	2606
AagrBONN_evm.TU.Sc2ySwM_117.1016	561	742	1216	2653
AagrBONN_evm.TU.Sc2ySwM_117.1017	198	92	304	399
AagrBONN_evm.TU.Sc2ySwM_117.1018	701	1166	1562	4077
AagrBONN_evm.TU.Sc2ySwM_117.1019	1295	1703	2523	7365
AagrBONN_evm.TU.Sc2ySwM_117.102	0	0	1	0
AagrBONN_evm.TU.Sc2ySwM_117.1020	0	0	3	0
AagrBONN_evm.TU.Sc2ySwM_117.1021	364	488	715	2411
AagrBONN_evm.TU.Sc2ySwM_117.1022	186	277	389	422
AagrBONN_evm.TU.Sc2ySwM_117.1023	2	4	101	879
AagrBONN_evm.TU.Sc2ySwM_117.1024	22	69	95	299
AagrBONN_evm.TU.Sc2ySwM_117.1025	251	126	255	538
AagrBONN_evm.TU.Sc2ySwM_117.1026	2	1	13	187
AagrBONN_evm.TU.Sc2ySwM_117.1027	12	4	34	144
AagrBONN_evm.TU.Sc2ySwM_117.1028	206	313	540	1847
AagrBONN_evm.TU.Sc2ySwM_117.1029	2930	5125	3854	6054
AagrBONN_evm.TU.Sc2ySwM_117.103	94	129	117	89
AagrBONN_evm.TU.Sc2ySwM_117.1030	931	1129	2474	6697
AagrBONN_evm.TU.Sc2ySwM_117.1031	785	1288	1596	5283
AagrBONN_evm.TU.Sc2ySwM_117.1032	2921	4536	4741	18091
AagrBONN_evm.TU.Sc2ySwM_117.1033	198	353	282	879
AagrBONN_evm.TU.Sc2ySwM_117.1034	31	51	39	86
AagrBONN_evm.TU.Sc2ySwM_117.1035	694	1436	2659	7831
AagrBONN_evm.TU.Sc2ySwM_117.1036	320	656	715	1992
AagrBONN_evm.TU.Sc2ySwM_117.1037	409	647	994	4068
AagrBONN_evm.TU.Sc2ySwM_117.1038	754	1109	2857	10261
AagrBONN_evm.TU.Sc2ySwM_117.1039	165	245	296	1082
AagrBONN_evm.TU.Sc2ySwM_117.104	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1040	1350	1581	1860	7861
AagrBONN_evm.TU.Sc2ySwM_117.1041	378	479	865	1325
AagrBONN_evm.TU.Sc2ySwM_117.1042	312	463	533	1420
AagrBONN_evm.TU.Sc2ySwM_117.1043	404	531	465	1277
AagrBONN_evm.TU.Sc2ySwM_117.1044	402	514	637	1110
AagrBONN_evm.TU.Sc2ySwM_117.1045	178	272	414	1386
AagrBONN_evm.TU.Sc2ySwM_117.1046	3	5	2	76
AagrBONN_evm.TU.Sc2ySwM_117.1047	1983	2685	5533	22699
AagrBONN_evm.TU.Sc2ySwM_117.1048	91	179	183	592
AagrBONN_evm.TU.Sc2ySwM_117.1049	12	13	30	66
AagrBONN_evm.TU.Sc2ySwM_117.105	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1050	1605	3841	3105	4668
AagrBONN_evm.TU.Sc2ySwM_117.1051	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1052	33	49	39	151
AagrBONN_evm.TU.Sc2ySwM_117.1053	29	27	47	327
AagrBONN_evm.TU.Sc2ySwM_117.1054	52	41	61	217
AagrBONN_evm.TU.Sc2ySwM_117.1055	7	2	5	0
AagrBONN_evm.TU.Sc2ySwM_117.1056	6	4	5	8
AagrBONN_evm.TU.Sc2ySwM_117.1057	5	16	37	10
AagrBONN_evm.TU.Sc2ySwM_117.1058	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1059	325	264	362	1487
AagrBONN_evm.TU.Sc2ySwM_117.106	605	1025	1994	8738
AagrBONN_evm.TU.Sc2ySwM_117.1060	3	10	59	1298
AagrBONN_evm.TU.Sc2ySwM_117.1061	10	28	31	296
AagrBONN_evm.TU.Sc2ySwM_117.1062	12	6	7	0
AagrBONN_evm.TU.Sc2ySwM_117.1063	0	0	2	0
AagrBONN_evm.TU.Sc2ySwM_117.1064	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1065	6	3	1	1
AagrBONN_evm.TU.Sc2ySwM_117.1066	1	0	2	0
AagrBONN_evm.TU.Sc2ySwM_117.1067	25	26	3	0
AagrBONN_evm.TU.Sc2ySwM_117.1068	222	273	11	35
AagrBONN_evm.TU.Sc2ySwM_117.1069	5214	9470	12771	22315
AagrBONN_evm.TU.Sc2ySwM_117.107	1129	1430	2125	8173
AagrBONN_evm.TU.Sc2ySwM_117.1070	118	277	320	383
AagrBONN_evm.TU.Sc2ySwM_117.1071	7323	9103	11405	8328
AagrBONN_evm.TU.Sc2ySwM_117.1072	701	1145	1236	2855
AagrBONN_evm.TU.Sc2ySwM_117.1073	25	36	153	559
AagrBONN_evm.TU.Sc2ySwM_117.1074	21	40	80	233
AagrBONN_evm.TU.Sc2ySwM_117.1075	806	536	616	566
AagrBONN_evm.TU.Sc2ySwM_117.1076	94	58	157	59
AagrBONN_evm.TU.Sc2ySwM_117.1077	396	755	971	2927
AagrBONN_evm.TU.Sc2ySwM_117.1078	87	153	158	214
AagrBONN_evm.TU.Sc2ySwM_117.1079	26	26	24	65
AagrBONN_evm.TU.Sc2ySwM_117.108	24	15	54	134
AagrBONN_evm.TU.Sc2ySwM_117.1080	3	7	6	43
AagrBONN_evm.TU.Sc2ySwM_117.1081	2009	3176	4180	5974
AagrBONN_evm.TU.Sc2ySwM_117.1082	380	720	631	1372
AagrBONN_evm.TU.Sc2ySwM_117.1083	1463	1930	3481	17522
AagrBONN_evm.TU.Sc2ySwM_117.1084	259	510	880	3209
AagrBONN_evm.TU.Sc2ySwM_117.1085	241	331	385	1564
AagrBONN_evm.TU.Sc2ySwM_117.1086	647	814	1053	4820
AagrBONN_evm.TU.Sc2ySwM_117.1087	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1088	38	20	57	204
AagrBONN_evm.TU.Sc2ySwM_117.1089	1884	3085	3267	8507
AagrBONN_evm.TU.Sc2ySwM_117.109	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1090	268	528	702	2143
AagrBONN_evm.TU.Sc2ySwM_117.1091	278	432	6251	7808
AagrBONN_evm.TU.Sc2ySwM_117.1092	170	409	1131	4261
AagrBONN_evm.TU.Sc2ySwM_117.1093	370	663	568	2259
AagrBONN_evm.TU.Sc2ySwM_117.1094	43	77	135	350
AagrBONN_evm.TU.Sc2ySwM_117.1095	952	1120	1579	5910
AagrBONN_evm.TU.Sc2ySwM_117.1096	107	164	254	395
AagrBONN_evm.TU.Sc2ySwM_117.1097	155	242	555	1368
AagrBONN_evm.TU.Sc2ySwM_117.1098	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1099	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.11	91	100	186	514
AagrBONN_evm.TU.Sc2ySwM_117.110	913	1073	1895	6965
AagrBONN_evm.TU.Sc2ySwM_117.1100	87	107	299	568
AagrBONN_evm.TU.Sc2ySwM_117.1101	187	264	192	850
AagrBONN_evm.TU.Sc2ySwM_117.1102	5	4	6	3
AagrBONN_evm.TU.Sc2ySwM_117.1103	3	0	4	0
AagrBONN_evm.TU.Sc2ySwM_117.1104	5	5	14	0
AagrBONN_evm.TU.Sc2ySwM_117.1105	13	34	18	128
AagrBONN_evm.TU.Sc2ySwM_117.1106	9	31	14	60
AagrBONN_evm.TU.Sc2ySwM_117.1107	333	356	499	1002
AagrBONN_evm.TU.Sc2ySwM_117.1108	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1109	0	0	2	0
AagrBONN_evm.TU.Sc2ySwM_117.111	403	418	758	3249
AagrBONN_evm.TU.Sc2ySwM_117.1110	1842	2775	645	1426
AagrBONN_evm.TU.Sc2ySwM_117.1111	236	324	99	274
AagrBONN_evm.TU.Sc2ySwM_117.1112	68	57	417	20
AagrBONN_evm.TU.Sc2ySwM_117.1113	278	491	769	2050
AagrBONN_evm.TU.Sc2ySwM_117.1114	0	0	3	0
AagrBONN_evm.TU.Sc2ySwM_117.1115	76	296	253	993
AagrBONN_evm.TU.Sc2ySwM_117.1116	1395	2085	3030	10829
AagrBONN_evm.TU.Sc2ySwM_117.1117	3	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1118	1	0	1	0
AagrBONN_evm.TU.Sc2ySwM_117.1119	1235	1591	4288	18210
AagrBONN_evm.TU.Sc2ySwM_117.1120	0	0	2	0
AagrBONN_evm.TU.Sc2ySwM_117.1121	40	50	406	770
AagrBONN_evm.TU.Sc2ySwM_117.1122	275	510	648	1339
AagrBONN_evm.TU.Sc2ySwM_117.1123	72	169	246	906
AagrBONN_evm.TU.Sc2ySwM_117.1124	21	27	117	329
AagrBONN_evm.TU.Sc2ySwM_117.1125	1	3	141	197
AagrBONN_evm.TU.Sc2ySwM_117.1126	30	32	552	1227
AagrBONN_evm.TU.Sc2ySwM_117.1127	16	29	297	585
AagrBONN_evm.TU.Sc2ySwM_117.1128	1	2	72	179
AagrBONN_evm.TU.Sc2ySwM_117.1129	593	777	1403	6932
AagrBONN_evm.TU.Sc2ySwM_117.113	17	31	52	184
AagrBONN_evm.TU.Sc2ySwM_117.1130	174	248	224	567
AagrBONN_evm.TU.Sc2ySwM_117.1131	754	946	407	203
AagrBONN_evm.TU.Sc2ySwM_117.1132	689	1047	1580	6315
AagrBONN_evm.TU.Sc2ySwM_117.1133	287	454	788	651
AagrBONN_evm.TU.Sc2ySwM_117.1134	234	446	589	1484
AagrBONN_evm.TU.Sc2ySwM_117.1135	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1136	17	34	24	56
AagrBONN_evm.TU.Sc2ySwM_117.1137	464	445	568	292
AagrBONN_evm.TU.Sc2ySwM_117.1138	0	0	0	0
AagrBONN_evm.TU.Sc2ySwM_117.1139	1180	2093	1756	6421
AagrBONN_evm.TU.Sc2ySwM_117.114	598	931	828	2775
AagrBONN_evm.TU.Sc2ySwM_117.1140	337	461	556	1730
AagrBONN_evm.TU.Sc2ySwM_117.1141	3	9	1	0
AagrBONN_evm.TU.Sc2ySwM_117.1142	145	224	258	729
AagrBONN_evm.TU.Sc2ySwM_117.1143	115	102	148	30
AagrBONN_evm.TU.Sc2ySwM_117.1144	781	1031	1302	6008
AagrBONN_evm.TU.Sc2ySwM_117.1145	224	291	468	1324
