gene_id	gameto_4	gameto_5	sporo_2	sporo_3	sporo_4
gene:AT1G01010	2	69	175	127	144
gene:AT1G01020	2	1	401	568	618
gene:AT1G01030	0	0	58	85	97
gene:AT1G01040	1566	1017	1790	2047	2046
gene:AT1G01050	676	246	1826	1870	1985
gene:AT1G01060	1812	2766	680	2403	2633
gene:AT1G01070	0	0	90	18	20
gene:AT1G01080	694	502	2559	3541	3842
gene:AT1G01090	1257	1014	3813	4625	4788
gene:AT1G01100	732	1316	2105	3261	3568
gene:AT1G01110	0	0	91	139	105
gene:AT1G01120	35	0	2026	842	859
gene:AT1G01130	1	2	75	43	46
gene:AT1G01140	1	18	6841	4755	5328
gene:AT1G01150	14	12	1	3	4
gene:AT1G01160	631	743	879	1104	1152
gene:AT1G01170	32	258	1601	1805	1925
gene:AT1G01180	1	0	290	132	111
gene:AT1G01190	0	37	122	176	152
gene:AT1G01200	0	0	19	40	29
gene:AT1G01210	73	115	241	329	310
gene:AT1G01220	948	193	1209	1235	1296
gene:AT1G01225	213	82	102	182	175
gene:AT1G01230	187	801	1028	825	945
gene:AT1G01240	256	892	1045	999	1089
gene:AT1G01250	1	0	24	24	27
gene:AT1G01260	160	137	607	642	594
gene:AT1G01280	0	5	0	0	0
gene:AT1G01290	352	269	372	430	449
gene:AT1G01300	21	0	1995	2190	2321
gene:AT1G01305	407	20	0	0	0
gene:AT1G01310	3	0	7	6	8
gene:AT1G01320	1729	3964	11915	16917	18011
gene:AT1G01335	0	0	0	0	0
gene:AT1G01340	372	340	732	548	553
gene:AT1G01350	586	262	630	746	774
gene:AT1G01355	346	384	2	1	1
gene:AT1G01360	3	140	430	368	396
gene:AT1G01370	0	58	79	123	145
gene:AT1G01380	0	0	12	21	16
gene:AT1G01390	0	0	124	81	53
gene:AT1G01400	0	0	0	3	1
gene:AT1G01410	0	0	0	1	0
gene:AT1G01420	3	38	138	119	132
gene:AT1G01430	0	10	1699	1296	1142
gene:AT1G01440	176	2	1318	932	1049
gene:AT1G01450	771	457	320	365	411
gene:AT1G01453	0	0	0	2	2
gene:AT1G01460	0	0	3	1	1
gene:AT1G01470	331	152	4459	1165	1264
gene:AT1G01480	789	772	108	205	38
gene:AT1G01490	10	42	1120	1097	1016
gene:AT1G01500	689	428	623	749	736
gene:AT1G01510	872	313	918	1221	1232
gene:AT1G01520	962	180	19	18	36
gene:AT1G01530	475	92	5	4	3
gene:AT1G01540	668	435	2293	2400	2557
gene:AT1G01550	483	510	7865	6207	6275
gene:AT1G01560	5	531	6143	1681	1953
gene:AT1G01570	1927	1426	38	54	84
gene:AT1G01580	0	0	18	31	25
gene:AT1G01590	915	57	7	1	1
gene:AT1G01600	48	0	12	43	50
gene:AT1G01610	605	0	1109	828	817
gene:AT1G01620	2	1	5238	5227	4708
gene:AT1G01630	0	0	1537	1176	1135
gene:AT1G01640	0	2	69	52	41
gene:AT1G01650	1390	945	1909	1538	1591
gene:AT1G01660	50	1	38	36	37
gene:AT1G01670	172	22	89	84	86
gene:AT1G01680	69	107	261	225	204
gene:AT1G01690	95	519	87	125	143
gene:AT1G01695	0	0	9	9	3
gene:AT1G01700	0	0	46	85	103
gene:AT1G01710	1865	1136	1023	1236	1343
gene:AT1G01715	744	144	84	88	112
gene:AT1G01720	359	269	981	580	540
gene:AT1G01725	12	4	179	190	207
gene:AT1G01730	87	184	581	484	463
gene:AT1G01740	49	89	245	265	244
gene:AT1G01750	385	241	34	41	38
gene:AT1G01760	262	513	109	171	185
gene:AT1G01770	1934	787	767	866	865
gene:AT1G01780	966	158	162	245	260
gene:AT1G01790	609	608	5110	6245	6298
gene:AT1G01800	0	0	1908	1822	1953
gene:AT1G01810	19	1	8	12	11
gene:AT1G01820	108	227	1891	1682	1681
gene:AT1G01830	365	24	543	373	423
gene:AT1G01840	48	40	109	154	177
gene:AT1G01860	583	209	414	571	630
gene:AT1G01880	52	83	54	92	104
gene:AT1G01900	0	0	183	466	454
gene:AT1G01910	930	577	1742	1843	2046
gene:AT1G01920	630	915	489	640	689
gene:AT1G01930	1229	572	476	507	540
gene:AT1G01940	261	483	273	310	316
gene:AT1G01950	1118	838	1320	979	1104
gene:AT1G01960	2067	2714	4054	3836	4074
gene:AT1G01970	216	230	936	1233	1375
gene:AT1G01980	0	0	1	0	1
gene:AT1G01990	100	76	540	555	619
gene:AT1G02000	19	120	261	238	217
gene:AT1G02010	449	266	359	415	451
gene:AT1G02020	1485	1454	430	466	456
gene:AT1G02030	451	46	5	12	8
gene:AT1G02040	0	0	2	2	5
gene:AT1G02050	201	61	78	145	181
gene:AT1G02060	630	4	139	200	250
gene:AT1G02065	2	0	2	8	7
gene:AT1G02067	0	0	0	3	3
gene:AT1G02070	0	0	1	2	4
gene:AT1G02080	9922	7880	5509	5764	5728
gene:AT1G02090	565	965	804	901	1007
gene:AT1G02100	1334	240	1104	1219	1325
gene:AT1G02110	1114	269	389	478	474
gene:AT1G02120	945	1652	2839	2686	2901
gene:AT1G02130	418	700	995	1171	1149
gene:AT1G02140	3210	1515	1811	2204	2388
gene:AT1G02145	557	413	744	801	899
gene:AT1G02150	275	345	2625	4103	4363
gene:AT1G02160	1575	180	304	364	383
gene:AT1G02170	567	999	1211	1072	1047
gene:AT1G02180	1	67	106	146	149
gene:AT1G02190	0	0	9	7	0
gene:AT1G02205	1	0	342	339	676
gene:AT1G02210	0	0	0	0	0
gene:AT1G02220	0	0	262	374	318
gene:AT1G02230	1	0	208	259	166
gene:AT1G02250	22	0	10	7	4
gene:AT1G02260	932	672	635	603	695
gene:AT1G02270	555	1192	1977	1299	1375
gene:AT1G02280	1390	657	1972	3408	3992
gene:AT1G02290	69	7	304	320	345
gene:AT1G02300	17	450	913	965	972
gene:AT1G02305	477	716	2615	2165	2350
gene:AT1G02310	2	12	5	3	3
gene:AT1G02320	2	0	1	1	0
gene:AT1G02330	1128	1968	659	777	895
gene:AT1G02335	0	0	207	368	532
gene:AT1G02340	0	0	58	25	14
gene:AT1G02350	1	1	86	87	109
gene:AT1G02360	0	0	353	198	247
gene:AT1G02370	576	164	226	261	269
gene:AT1G02380	0	0	62	41	59
gene:AT1G02390	1	0	88	38	46
gene:AT1G02400	1	3	1313	222	235
gene:AT1G02405	0	0	17	3	3
gene:AT1G02410	561	142	686	773	900
gene:AT1G02420	392	693	178	200	206
gene:AT1G02430	132	152	82	105	124
gene:AT1G02440	90	28	15	37	30
gene:AT1G02450	0	0	176	372	125
gene:AT1G02460	0	0	18	85	69
gene:AT1G02470	0	0	63	49	52
gene:AT1G02475	211	428	1947	1618	1713
gene:AT1G02490	0	0	1	2	2
gene:AT1G02500	1864	1148	8212	8753	8418
gene:AT1G02510	1	39	0	0	1
gene:AT1G02520	751	32	18	25	19
gene:AT1G02530	489	89	6	10	8
gene:AT1G02540	2	0	0	0	0
gene:AT1G02550	57	0	0	0	0
gene:AT1G02560	1709	1304	9626	10994	11719
gene:AT1G02570	0	0	3	1	2
gene:AT1G02575	0	1	1	0	1
gene:AT1G02580	6912	8039	12	8	6
gene:AT1G02590	0	39	0	0	0
gene:AT1G02610	1129	170	1152	413	408
gene:AT1G02620	354	152	22	9	8
gene:AT1G02630	0	0	3	18	16
gene:AT1G02640	1	6	708	1364	1528
gene:AT1G02650	29	291	43	84	77
gene:AT1G02660	193	36	4942	1578	1566
gene:AT1G02670	235	462	56	101	109
gene:AT1G02680	153	199	340	328	335
gene:AT1G02690	767	905	104	256	260
gene:AT1G02700	0	0	24	7	9
gene:AT1G02705	0	0	42	44	29
gene:AT1G02710	0	0	37	40	23
gene:AT1G02720	38	21	266	445	482
gene:AT1G02730	506	658	472	1095	1208
gene:AT1G02740	478	458	347	355	392
gene:AT1G02750	176	274	400	394	460
gene:AT1G02770	249	237	3	8	4
gene:AT1G02780	3070	2386	9170	13775	15259
gene:AT1G02790	0	0	0	1	0
gene:AT1G02800	2	9	6	38	48
gene:AT1G02810	221	104	14	15	12
gene:AT1G02813	0	0	0	0	0
gene:AT1G02816	65	311	271	243	267
gene:AT1G02820	3	0	119	148	175
gene:AT1G02830	0	0	0	0	0
gene:AT1G02840	597	1611	1598	2277	2522
gene:AT1G02850	163	0	111	126	114
gene:AT1G02860	2290	1544	458	344	306
gene:AT1G02870	51	11	468	585	689
gene:AT1G02880	515	705	685	917	981
gene:AT1G02890	2036	2819	3247	3073	3085
