gene_id	isoform	gameto_2	gameto_4	gameto_6	sporo_1	sporo_3	sporo_5
comp100009_c0	seq1.p1	384	347	249	45	155	685
comp100013_c0	seq1.p1	2	0	1	1	1	4
comp100017_c0	seq1.p1	15	8	0	2	0	0
comp100019_c0	seq1.p1	1	1	5	5	6	3
comp100029_c0	seq1.p1	2	3	14	0	1	0
comp10002_c0	seq1.p1	2	7	1	2	7	2
comp100033_c2	seq2.p1	3	3	2	0	0	1
comp100034_c0	seq1.p1	0	0	0	60	0	0
comp100039_c0	seq1.p1	0	3	0	2	1	1
comp100042_c0	seq1.p1	51	36	22	0	0	4
comp100043_c0	seq2.p1	0	1	4	2	2	4
comp100043_c0	seq3.p1	1	0	1	3	0	6
comp100059_c0	seq1.p1	3	5	1	0	6	5
comp100062_c0	seq1.p1	1	1	0	3	0	8
comp100062_c1	seq2.p1	6	2	3	2	1	16
comp100063_c0	seq1.p1	2	0	1	1	3	4
comp100071_c0	seq1.p1	2	5	14	2	0	8
comp100085_c0	seq1.p1	0	0	5	0	0	9
comp100085_c1	seq1.p1	0	0	7	0	0	10
comp100092_c0	seq1.p1	7	2	14	160	90	243
comp100094_c0	seq1.p1	3	3	2	6	3	0
comp100099_c0	seq1.p1	0	0	0	0	112	0
comp100099_c0	seq2.p1	0	0	0	0	20	0
comp100101_c0	seq2.p1	11	15	0	6	0	0
comp100121_c1	seq1.p1	1	2	2	3	4	1
comp100132_c0	seq1.p1	2	7	6	2	0	4
comp100141_c0	seq1.p1	140	96	85	243	174	290
comp100141_c0	seq2.p1	551	460	328	631	553	911
comp100142_c0	seq2.p1	0	1	1	1	3	2
comp100151_c0	seq1.p1	2	3	2	8	17	30
comp100157_c0	seq1.p1	4	4	0	1	1	0
comp100163_c0	seq2.p1	520	506	468	482	292	836
comp10017_c1	seq1.p1	2	3	1	0	0	0
comp100226_c0	seq1.p1	930	826	581	480	1019	1060
comp100226_c0	seq4.p1	594	528	349	331	783	726
comp100230_c0	seq2.p1	0	0	0	0	45	1
comp100238_c0	seq1.p1	172	171	158	138	514	201
comp10023_c0	seq1.p1	0	0	0	0	12	0
comp100247_c0	seq1.p1	39	28	37	27	9	8
comp100247_c1	seq1.p1	17	16	12	10	1	4
comp100249_c0	seq1.p1	934	594	834	795	462	215
comp100264_c0	seq1.p1	66	54	65	126	149	143
comp100268_c0	seq1.p1	1226	1287	776	1131	1654	1908
comp100278_c0	seq1.p1	0	0	15	0	1	26
comp100300_c0	seq1.p1	3	0	189	0	47	505
comp100305_c0	seq1.p1	7641	7454	5079	1467	2089	4153
comp100307_c0	seq1.p1	2	5	1	5	5	6
comp100307_c0	seq2.p1	12	15	13	10	11	45
comp100309_c1	seq1.p1	187	174	172	386	277	370
comp100315_c0	seq1.p2	20910	26476	6776	205	227	231
comp100318_c0	seq1.p1	38	34	39	24	36	54
comp100324_c0	seq2.p1	6	13	0	15	13	0
comp100333_c0	seq1.p1	8	4	12	11	14	24
comp100338_c1	seq1.p1	4	2	0	0	2	0
comp10033_c1	seq1.p1	2	0	2	1	0	0
comp100340_c0	seq1.p1	0	0	0	1	5	9
comp100351_c0	seq1.p1	315	286	139	229	294	150
comp100372_c0	seq1.p1	2	1	2	3	2	3
comp100375_c0	seq1.p1	1563	1295	1106	809	1032	1631
comp100378_c0	seq1.p1	309	213	262	94	209	779
comp100379_c0	seq2.p1	11	13	13	4	0	2
comp100382_c0	seq2.p1	0	1	0	0	4	2
comp100391_c0	seq1.p1	6	6	3	3	0	5
comp100399_c0	seq1.p1	59	59	463	70	127	998
comp100403_c0	seq1.p1	2	0	1	4	2	0
comp100407_c0	seq1.p1	3	1	7	10	3	22
comp100408_c0	seq1.p1	10	9	20	10	12	25
