gene_id	gameto_2	gameto_4	gameto_6	sporo_1	sporo_3	sporo_5
comp100009_c0	384	347	249	45	155	685
comp100013_c0	2	0	1	1	1	4
comp100017_c0	15	8	0	2	0	0
comp100019_c0	1	1	5	5	6	3
comp100029_c0	2	3	14	0	1	0
comp10002_c0	2	7	1	2	7	2
comp100033_c2	3	3	2	0	0	1
comp100034_c0	0	0	0	60	0	0
comp100039_c0	0	3	0	2	1	1
comp100042_c0	51	36	22	0	0	4
comp100043_c0	1	1	5	5	2	10
comp100059_c0	3	5	1	0	6	5
comp100062_c0	1	1	0	3	0	8
comp100062_c1	6	2	3	2	1	16
comp100063_c0	2	0	1	1	3	4
comp100071_c0	2	5	14	2	0	8
comp100085_c0	0	0	5	0	0	9
comp100085_c1	0	0	7	0	0	10
comp100092_c0	7	2	14	160	90	243
comp100094_c0	3	3	2	6	3	0
comp100099_c0	0	0	0	0	132	0
comp100101_c0	11	15	0	6	0	0
comp100121_c1	1	2	2	3	4	1
comp100132_c0	2	7	6	2	0	4
comp100141_c0	691	556	413	874	727	1201
comp100142_c0	0	1	1	1	3	2
comp100151_c0	2	3	2	8	17	30
comp100157_c0	4	4	0	1	1	0
comp100163_c0	520	506	468	482	292	836
comp10017_c1	2	3	1	0	0	0
comp100226_c0	1524	1354	930	811	1802	1786
comp100230_c0	0	0	0	0	45	1
comp100238_c0	172	171	158	138	514	201
comp10023_c0	0	0	0	0	12	0
comp100247_c0	39	28	37	27	9	8
comp100247_c1	17	16	12	10	1	4
comp100249_c0	934	594	834	795	462	215
comp100264_c0	66	54	65	126	149	143
comp100268_c0	1226	1287	776	1131	1654	1908
comp100278_c0	0	0	15	0	1	26
comp100300_c0	3	0	189	0	47	505
comp100305_c0	7641	7454	5079	1467	2089	4153
comp100307_c0	14	20	14	15	16	51
comp100309_c1	187	174	172	386	277	370
comp100315_c0	20910	26476	6776	205	227	231
comp100318_c0	38	34	39	24	36	54
comp100324_c0	6	13	0	15	13	0
comp100333_c0	8	4	12	11	14	24
comp100338_c1	4	2	0	0	2	0
comp10033_c1	2	0	2	1	0	0
comp100340_c0	0	0	0	1	5	9
comp100351_c0	315	286	139	229	294	150
comp100372_c0	2	1	2	3	2	3
comp100375_c0	1563	1295	1106	809	1032	1631
comp100378_c0	309	213	262	94	209	779
comp100379_c0	11	13	13	4	0	2
comp100382_c0	0	1	0	0	4	2
comp100391_c0	6	6	3	3	0	5
comp100399_c0	59	59	463	70	127	998
comp100403_c0	2	0	1	4	2	0
comp100407_c0	3	1	7	10	3	22
comp100408_c0	15	17	27	15	13	30
comp100410_c0	183	280	68	0	0	0
comp100415_c0	14	10	13	15	160	13
comp100418_c0	4	3	1	1	1	8
comp100428_c0	2	1	0	2	10	2
comp100429_c0	0	0	0	9	0	0
comp100434_c1	0	3	0	5	1	2
comp100443_c0	2	3	0	9	0	0
comp100443_c2	0	2	0	6	5	4
comp100462_c0	0	4	1	2	0	7
comp100464_c3	0	0	1	0	21	0
comp100467_c0	4	0	3	3	0	5
comp100471_c0	0	1	1	0	2	3
comp100479_c0	0	1	2	2	0	5
comp100482_c0	1	0	1	2	2	2
comp100496_c0	10	5	1	0	6	0
comp100497_c0	0	5	1	0	4	9
comp100501_c0	1	4	0	2	4	3
comp100511_c0	768	634	588	441	566	823
comp100518_c0	10	32	9	0	0	0
comp100525_c0	22	39	6	0	0	0
comp100527_c0	2	3	1	1	1	2
comp100528_c0	195	183	145	135	207	362
comp100529_c1	0	1	2	4	4	3
comp100539_c3	4	2	2	10	3	11
comp100555_c0	4	2	1	1	3	0
comp100560_c0	735	646	670	334	316	937
comp100569_c0	3	2	0	0	4	2
comp10056_c0	0	0	0	0	15	0
comp100574_c0	1111	889	894	351	635	795
comp100579_c1	2	2	1	6	2	4
comp100596_c1	2	3	3	1	1	0
comp10059_c0	0	0	12	0	0	0
comp100606_c0	5	4	0	0	0	0
comp100606_c1	11	3	0	0	0	0
comp100606_c2	4	2	0	0	0	0
comp100606_c3	5	7	0	3	0	0
comp100606_c4	5	4	0	4	0	0
comp100611_c0	2	3	4	3	3	5
comp100619_c0	2	8	5	5	10	0
comp100627_c0	254	245	196	157	167	280
comp100629_c0	4	3	6	4	0	24
comp100630_c1	1	0	0	2	5	2
comp100638_c0	14	12	17	0	0	0
comp100643_c0	149	68	138	165	370	1132
comp100645_c0	1	2	6	0	1	3
comp100648_c0	18	27	21	0	1	0
comp100669_c0	119	115	129	105	65	12
comp100676_c0	2	0	2	4	0	5
comp10068_c0	0	0	5	2	1	1
