gene_id	gameto_5	gameto_6	gameto_7	sporo_7	sporo_8	sporo_9
Pp3c10_10040	970	852	1132	1401	429	860
Pp3c10_10090	0	0	0	1	0	1
Pp3c10_10100	217	147	340	174	150	266
Pp3c10_10130	973	581	1190	254	118	464
Pp3c10_10170	114	76	140	0	0	2
Pp3c10_10190	0	0	1	0	0	0
Pp3c10_10200	914	612	760	492	198	468
Pp3c10_10220	3635	2928	3877	4011	1366	1913
Pp3c10_10230	856	716	987	1545	191	308
Pp3c10_10240	202	172	257	675	96	183
Pp3c10_10270	66	50	90	262	90	204
Pp3c10_10290	5159	4570	4995	227	173	510
Pp3c10_10296	5	2	6	0	0	0
Pp3c10_10414	0	0	0	0	0	0
Pp3c10_10420	0	0	0	0	0	0
Pp3c10_10460	269	201	222	148	34	95
Pp3c10_10490	1000	764	1111	1558	516	725
Pp3c10_10510	35	18	60	227	87	72
Pp3c10_10520	764	673	954	1196	421	642
Pp3c10_10570	11204	9230	9153	161	53	981
Pp3c10_10590	1656	1490	1590	528	224	630
Pp3c10_1060	1944	1922	2440	962	324	816
Pp3c10_10600	19387	17118	16471	2507	799	1743
Pp3c10_10620	1508	1344	1475	614	75	260
Pp3c10_10670	1348	1147	1552	723	173	356
Pp3c10_10680	6144	5673	6421	4233	1650	2250
Pp3c10_10690	15	29	27	3	1	2
Pp3c10_10700	12	23	18	1	1	1
Pp3c10_10710	70	76	57	16	7	11
Pp3c10_10730	0	0	0	0	5	2
Pp3c10_1080	71	50	93	309	110	190
Pp3c10_10820	3065	3239	1109	901	178	516
Pp3c10_10840	1069	978	688	873	642	1213
Pp3c10_10850	890	748	1101	1482	859	1334
Pp3c10_10860	583	619	791	1254	854	883
Pp3c10_10980	4389	2839	2929	183	271	467
Pp3c10_10990	395	257	397	254	229	258
Pp3c10_1100	8	14	13	5	5	0
Pp3c10_11000	1382	1317	904	659	254	455
Pp3c10_11010	181	137	322	14	10	3
Pp3c10_11020	992	885	1406	1442	911	903
Pp3c10_11040	35	30	26	90	65	60
Pp3c10_11042	3	7	10	423	79	106
Pp3c10_11080	32	38	51	1449	78	158
Pp3c10_11120	5893	6054	5813	4465	2931	4291
Pp3c10_11150	494	669	645	44	10	28
Pp3c10_11160	232	210	256	144	55	87
Pp3c10_11170	1017	811	980	54	11	62
Pp3c10_11180	1175	1072	1227	1943	1106	1200
Pp3c10_11190	512	476	557	1209	857	803
Pp3c10_11200	645	546	753	1549	1031	1131
Pp3c10_11210	554	474	596	667	459	587
Pp3c10_11219	78	90	24	7	7	16
Pp3c10_11240	1905	1520	2202	2943	577	1647
Pp3c10_11250	5487	5044	5271	546	145	1110
Pp3c10_11280	759	652	880	1098	355	673
Pp3c10_11290	136	118	142	127	42	126
Pp3c10_11330	78	56	227	303	77	141
Pp3c10_11348	1	0	0	22	9	4
Pp3c10_11360	11	1	11	3874	1156	2285
Pp3c10_11390	67	57	61	344	60	107
Pp3c10_11420	0	0	0	0	0	0
Pp3c10_11430	124	109	135	337	194	212
Pp3c10_11440	43	43	68	135	99	83
Pp3c10_11500	0	0	0	0	0	0
Pp3c10_11510	0	0	0	0	0	0
Pp3c10_11520	0	0	0	0	0	0
Pp3c10_11530	0	0	0	0	0	0
Pp3c10_11540	0	0	0	0	1	0
Pp3c10_11550	0	0	0	0	0	0
Pp3c10_11560	0	0	0	0	0	0
Pp3c10_11570	0	0	0	0	0	0
Pp3c10_11580	0	0	0	0	0	0
Pp3c10_11590	0	0	0	0	0	0
