comp100009_c0	GO:0004364,GO:0009734
comp100059_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp100141_c0	GO:0000287,GO:0005986,GO:0050307
comp100151_c0	GO:0016567
comp100163_c0	GO:0004579,GO:0006486,GO:0008250,GO:0016021
comp100226_c0	GO:0004373,GO:0009011,GO:0009501,GO:0009507,GO:0019252,GO:0033201
comp100238_c0	GO:0000139,GO:0005768,GO:0005794,GO:0005802,GO:0005886,GO:0008460,GO:0016020,GO:0016021,GO:0019305,GO:0032580,GO:0033320,GO:0042732,GO:0048040
comp100249_c0	GO:0005509,GO:0005789,GO:0006457,GO:0016021,GO:0030246
comp100264_c0	GO:0004430,GO:0005634,GO:0005794,GO:0005829,GO:0005886,GO:0009860,GO:0016020,GO:0017137,GO:0030659,GO:0035619,GO:0043424,GO:0048015,GO:0048768
comp100268_c0	GO:0003983,GO:0005737,GO:0006011
comp100305_c0	GO:0003735,GO:0005840,GO:0006412
comp100318_c0	GO:0005886,GO:0006650,GO:0008374,GO:0008654,GO:0016021,GO:0016746,GO:0031224
comp100378_c0	GO:0004161,GO:0004337,GO:0033384,GO:0045337,GO:0046872
comp100399_c0	GO:0005737,GO:0005886,GO:0006810,GO:0007049,GO:0008289,GO:0016021,GO:0051301
comp100407_c0	GO:0005739
comp100408_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
comp100415_c0	GO:0004427,GO:0016791,GO:0046872,GO:0051262
comp100496_c0	GO:0004601,GO:0005576,GO:0005634,GO:0005737,GO:0006979,GO:0020037,GO:0042744,GO:0046872
comp100528_c0	GO:0005524,GO:0016301
comp100560_c0	GO:0005730,GO:0016020,GO:0042254
comp100574_c0	GO:0009908,GO:0030154
comp100606_c0	GO:0000943,GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004523,GO:0004540,GO:0005524,GO:0005634,GO:0005737,GO:0006278,GO:0006310,GO:0008233,GO:0008270,GO:0015074,GO:0019076,GO:0032197,GO:0071897,GO:0090501
comp100606_c2	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
comp100606_c3	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0015074
comp100627_c0	GO:0003755,GO:0005829,GO:0006457,GO:0042277
comp100643_c0	GO:0005986,GO:0016157,GO:0046524
comp100648_c0	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0007275,GO:0009873
comp100669_c0	GO:0004672,GO:0005524,GO:0005886,GO:0016021
comp100676_c0	GO:0000943,GO:0003677,GO:0003723,GO:0003887,GO:0003964,GO:0004190,GO:0004523,GO:0004540,GO:0005524,GO:0005634,GO:0005737,GO:0006278,GO:0006310,GO:0008233,GO:0008270,GO:0015074,GO:0019076,GO:0032197,GO:0071897,GO:0090501
comp100758_c0	GO:0001678,GO:0004396,GO:0005524,GO:0005536,GO:0006096,GO:0009707,GO:0016021
comp100761_c0	GO:0004729,GO:0006782,GO:0009507,GO:0015995
comp100771_c0	GO:0003735,GO:0005840,GO:0006412
comp100821_c0	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355
comp100837_c0	GO:0004176,GO:0004222,GO:0005524,GO:0005739,GO:0006508,GO:0008237,GO:0009408,GO:0009535,GO:0009941,GO:0010304,GO:0016021,GO:0019761,GO:0031966,GO:0032880,GO:0046872
comp100930_c0	GO:0000166,GO:0000398,GO:0003723,GO:0003727,GO:0005634,GO:0005654,GO:0005737,GO:0006396,GO:0008380,GO:0010467,GO:0016020,GO:0043484,GO:0044822,GO:0071013
comp101083_c0	GO:0003676,GO:0003964,GO:0004190,GO:0004519,GO:0008270,GO:0015074
comp101133_c0	GO:0009507,GO:0009536,GO:0009658,GO:0009941,GO:0016020,GO:0016021,GO:0031897,GO:0045037
comp101143_c0	GO:0001731,GO:0002183,GO:0003743,GO:0005852,GO:0006446,GO:0016282,GO:0033290
