TRINITY_DN0_c0_g1	GO:0004674,GO:0004709,GO:0005524,GO:0005737,GO:0007346,GO:0010098,GO:0010103,GO:0010229,GO:0023014,GO:0031098,GO:0032147,GO:0040008
TRINITY_DN10000_c0_g1	GO:0004674,GO:0005524,GO:0005886,GO:0016021,GO:0030246
TRINITY_DN10002_c0_g1	GO:0000166,GO:0001072,GO:0003690,GO:0003697,GO:0003723,GO:0005507,GO:0005524,GO:0005739,GO:0006970,GO:0009409,GO:0009414,GO:0009631,GO:0009651,GO:0009845,GO:0031564
TRINITY_DN10003_c0_g1	GO:0035251
TRINITY_DN10006_c0_g1	GO:0005504,GO:0005783,GO:0006869,GO:0008270,GO:0009506,GO:0009862,GO:0043621,GO:0048046
TRINITY_DN10007_c0_g1	GO:0005886,GO:0016021
TRINITY_DN10009_c0_g1	GO:0005737,GO:0009058,GO:0050198
TRINITY_DN1000_c0_g1	GO:0003723,GO:0005730,GO:0006364,GO:0030529
TRINITY_DN10012_c0_g1	GO:0009507
TRINITY_DN10013_c0_g1	GO:0004674,GO:0005516,GO:0005524,GO:0005886,GO:0016021,GO:0030246,GO:0048544
TRINITY_DN10016_c0_g1	GO:0000266,GO:0005739,GO:0005741,GO:0005777,GO:0005778,GO:0007005,GO:0009507,GO:0016021,GO:0016559
TRINITY_DN10017_c1_g1	GO:0000103,GO:0005737,GO:0006457,GO:0006662,GO:0009534,GO:0010190,GO:0015035,GO:0016671,GO:0019761,GO:0031977,GO:0034599,GO:0045454,GO:0055114
TRINITY_DN10018_c0_g1	GO:0003677,GO:0008270
TRINITY_DN1001_c0_g1	GO:0005634,GO:0006351,GO:0006355
TRINITY_DN10020_c0_g1	GO:0005524,GO:0042742,GO:0043531,GO:0048046
TRINITY_DN10021_c0_g1	GO:0004222,GO:0006508,GO:0006518,GO:0009507,GO:0009534,GO:0009535,GO:0009941,GO:0016021
TRINITY_DN10022_c0_g1	GO:0006869,GO:0008289
TRINITY_DN10023_c0_g1	GO:0003677,GO:0005634,GO:0006351,GO:0006355
TRINITY_DN10024_c0_g1	GO:0004842,GO:0005783,GO:0005789,GO:0006970,GO:0008270,GO:0009409,GO:0009414,GO:0009611,GO:0009723,GO:0016021,GO:0016567,GO:0016874,GO:0043161
TRINITY_DN10025_c0_g1	GO:0004674,GO:0005524,GO:0007165
TRINITY_DN10026_c0_g2	GO:0005739,GO:0009451,GO:0009507,GO:0010182,GO:0031425,GO:0031426,GO:0080156
TRINITY_DN10026_c1_g1	GO:0005739
TRINITY_DN10028_c0_g1	GO:0005576,GO:0006858,GO:0006897,GO:0016020,GO:0042626,GO:0055085
TRINITY_DN10031_c0_g1	GO:0000166,GO:0003677,GO:0006396,GO:0008173,GO:0046872
TRINITY_DN10032_c0_g1	GO:0004565,GO:0005618,GO:0005975,GO:0030246,GO:0048046
TRINITY_DN10033_c0_g1	GO:0005096,GO:0005829,GO:0009737,GO:0046872
TRINITY_DN10034_c0_g1	GO:0015079,GO:0016020,GO:0016021
TRINITY_DN10034_c0_g2	GO:0015079,GO:0016020,GO:0016021
TRINITY_DN10038_c0_g1	GO:0005634,GO:0007346,GO:0008270,GO:0009965,GO:0010162,GO:0010228,GO:0010390,GO:0016874,GO:0033523,GO:0042803,GO:0043687,GO:0045087,GO:0045893
TRINITY_DN10039_c0_g1	GO:0000139,GO:0000301,GO:0005794,GO:0007030,GO:0016021,GO:0031985
TRINITY_DN1003_c0_g1	GO:0016567
TRINITY_DN1003_c1_g1	GO:0016567
TRINITY_DN10040_c0_g1	GO:0003755,GO:0005768,GO:0005783,GO:0005794,GO:0005802,GO:0006457,GO:0042277
TRINITY_DN10041_c0_g1	GO:0000793,GO:0003677,GO:0003700,GO:0005730,GO:0006351,GO:0008356,GO:0009615,GO:0009944,GO:0010338,GO:0042742,GO:0045088,GO:0045892,GO:0050832
TRINITY_DN10043_c0_g1	GO:0004252,GO:0008239,GO:0051603,GO:0070008
TRINITY_DN10044_c0_g1	GO:0005739
TRINITY_DN10044_c0_g2	GO:0005739
TRINITY_DN10044_c0_g3	GO:0005739
TRINITY_DN10044_c1_g2	GO:0005739
TRINITY_DN10044_c2_g2	GO:0005739
TRINITY_DN10044_c2_g3	GO:0005739
TRINITY_DN10044_c3_g1	GO:0004674,GO:0005524,GO:0005739,GO:0005886,GO:0016021
TRINITY_DN10045_c0_g1	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0009611,GO:0009651,GO:0009737,GO:0009751,GO:0009800,GO:0009892
TRINITY_DN10045_c1_g3	GO:0003677,GO:0005634,GO:0006351,GO:0006355
TRINITY_DN10046_c0_g1	GO:0017183,GO:0046872
TRINITY_DN10048_c0_g1	GO:0004674,GO:0005524,GO:0016021
TRINITY_DN10048_c0_g2	GO:0004674,GO:0005524,GO:0016021
TRINITY_DN10048_c1_g1	GO:0004674,GO:0005524,GO:0009877,GO:0016021
TRINITY_DN10050_c0_g1	GO:0005739,GO:0005759,GO:0006633,GO:0046872,GO:0050897,GO:0055114,GO:0070469
TRINITY_DN10054_c0_g1	GO:0016042,GO:0016787
TRINITY_DN10055_c0_g1	GO:0005739
TRINITY_DN10056_c0_g1	GO:0003677,GO:0005634,GO:0006351,GO:0006355,GO:0008289
TRINITY_DN10058_c0_g1	GO:0005886,GO:0016021
TRINITY_DN10058_c0_g2	GO:0005886,GO:0016021
TRINITY_DN10058_c1_g1	GO:0016021
TRINITY_DN1005_c0_g1	GO:0003677,GO:0005634,GO:0006352,GO:0008270,GO:0010964,GO:0016570,GO:0031047,GO:0032776,GO:0042393
TRINITY_DN10061_c1_g1	GO:0003723,GO:0006397,GO:0009507,GO:0010087,GO:0010305,GO:0010588,GO:0046872,GO:0048366,GO:1900865
TRINITY_DN10063_c0_g1	GO:0000287,GO:0006633,GO:0008897,GO:0017000,GO:0018070,GO:0019878
TRINITY_DN10067_c0_g1	GO:0004693,GO:0005524,GO:0008353
